,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
459,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15,22,1.47,21,0,0,0,1,0,3,0.2,3,0,0,0,0,0,Matches,6250083a
460,William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,1,0.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5e105217
461,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,65,3.05,49,4,5,4,3,0,6,0.28,5,1,0,0,0,0,Matches,17695062
462,Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,36,2.18,25,9,0,0,1,1,2,0.12,1,1,0,0,0,0,Matches,839c14e1
463,Tomáš Souček,cz CZE,MF,West Ham,26,1995,34,34,1,29,0,0,3,1,1,4,0.12,4,0,0,0,0,0,Matches,6613c819
464,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,15,1.23,12,0,2,0,0,1,2,0.16,2,0,0,0,0,0,Matches,ae59b359
465,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,11,0.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,21166ff4
466,Tony Springett,eng ENG,FWMF,Norwich City,18,2002,1.6,3,1.91,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,35be8087
467,Jason Steele,eng ENG,GK,Brighton,30,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,28300a16
468,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a8a3d139
469,Zack Steffen,us USA,GK,Manchester City,26,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,42130443
470,Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,2,1.45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches,653ee42d
471,Jack Stephens,eng ENG,DF,Southampton,27,1994,9,6,0.67,5,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches,6adbc307
472,Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,90,3.81,69,1,11,3,5,1,11,0.47,5,0,0,2,4,0,Matches,b400bde0
473,Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7e003182
474,John Stones,eng ENG,DF,Manchester City,27,1994,12.4,14,1.13,12,1,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches,5eecec3d
475,Pascal Struijk,nl NED,DF,Leeds United,21,1999,22.8,19,0.83,13,0,0,2,1,3,2,0.09,0,0,0,1,0,1,Matches,f4d296e4
